策略,日期,计划购电量_kWh,调整后购电量_kWh,上调量_kWh,下调量_kWh,紧急购电量_kWh,剩余电量_kWh,计划购电费_元,调整成本_元,紧急购电费_元,总成本_元
问题3_固定价_八时点代理,2025-07-05,29850.463041666662,38808.11125299503,8957.648211328373,0.0,6529.097338998562,13507.128625326934,15668.335516038609,10593.702080034498,22042.53292799599,48304.570524069095
问题3_固定价_八时点代理,2025-07-06,61612.339127263374,81039.96767696812,19427.628549704757,0.0,4815.044115396047,1764.599130348591,38458.78121124409,19075.4750349626,16841.043915317114,74375.3001615238
问题3_固定价_八时点代理,2025-07-07,62266.07054554183,72499.1789873385,10233.108441796665,0.0,5726.319577334427,1188.2845758227809,38681.21808225764,10595.752907692564,19697.01592090061,68973.98691085081
问题3_固定价_八时点代理,2025-07-08,66895.15490620713,75261.18515704726,9671.954044542468,1305.9237937023302,5812.986738757528,1379.7182324642763,40973.17233741624,11044.049246740457,20332.246059551177,72349.46764370787
问题3_固定价_八时点代理,2025-07-09,67091.26405771603,75072.3435425774,7981.079484861355,0.0,4833.18379649744,1863.131073175839,40815.180079796475,9398.23840028588,16762.52544617969,66975.94392626204
问题3_固定价_八时点代理,2025-07-10,59792.03790751028,71428.3852396461,11636.347332135816,0.0,6620.859198339652,1104.7687693623293,37598.190290330254,12158.166606551436,21149.377583980517,70905.73448086221
问题3_固定价_八时点代理,2025-07-11,32033.047708333335,38312.51542919704,6279.467720863707,0.0,5537.281750844812,8319.813580217708,17674.18968217417,6608.177952484716,18940.407223354403,43222.77485801329
问题3_固定价_八时点代理,2025-07-12,31339.18981666666,40214.22838387843,8875.038567211768,0.0,4401.445510033196,10491.430560578297,16835.581061495275,9588.026227307511,14587.687428422634,41011.29471722542
问题3_固定价_八时点代理,2025-07-13,66652.70337789369,68822.53484110176,4830.736180022973,2660.9047168148963,5505.717331111548,1235.1051571000685,42195.324081685896,4380.929599935708,20146.907248424803,66723.1609300464
问题3_固定价_八时点代理,2025-07-14,62282.40066772222,70724.1094201162,8589.039414890925,147.33066249693434,5524.392251562905,770.3419777029126,38334.90684225612,9955.944940107647,19408.438406072848,67699.29018843661
问题3_固定价_八时点代理,2025-07-15,66565.24924279835,70766.24837147865,4856.621776405375,655.6226477250812,6244.847976441752,731.3009185850908,41052.40010712414,5712.98156898398,22538.00539650881,69303.38707261691
问题3_固定价_八时点代理,2025-07-16,63752.17737187928,71981.01584534616,8228.838473466873,0.0,5609.743982374419,1529.268112619349,40306.56774778181,8208.12267652756,18129.59775040873,66644.28817471811
问题3_固定价_八时点代理,2025-07-17,61627.455998491074,72275.31674578373,10647.860747292654,0.0,5464.720525665664,1028.7772726774201,38325.63201131597,11411.278868346053,18837.54441389194,68574.45529355395
