策略,日期,计划购电量_kWh,调整后购电量_kWh,上调量_kWh,下调量_kWh,紧急购电量_kWh,剩余电量_kWh,计划购电费_元,调整成本_元,紧急购电费_元,总成本_元
问题4-3_波动价,2025-03-16,72396.42771443757,69071.97828236749,0.0,3324.449432070085,1384.251225263884,3044.5009544267646,45236.308036101254,-1343.6358157646248,6005.771546726292,49898.44376706292
问题4-3_波动价,2025-03-17,68341.21104492455,62251.809388924936,159.05559788495555,6248.457253884569,2033.6894169896564,2371.1408577666693,40420.23751963658,-1325.9440040511768,8796.098983862474,47890.39249944789
问题4-3_波动价,2025-03-18,76656.59648127572,67432.50108866951,0.0,9224.0953926062,1070.9659940877043,3277.536529492654,47666.980663843526,-3458.005796049647,5108.369099864265,49317.34396765815
问题4-3_波动价,2025-03-19,63524.97175408093,65398.8806659202,1903.2727131404727,29.363801301195053,1465.4127103537633,3172.0430984748987,38485.64057012437,1495.3989809433663,6012.797044726191,45993.83659579393
问题4-3_波动价,2025-03-20,71771.22844705074,65488.71321003764,0.0,6282.515237013101,2761.1965599417676,1944.6664512668622,44179.15101471723,-2220.6778278575057,11778.663877335073,53737.1370641948
问题4-3_波动价,2025-03-21,31281.673462962965,30673.578610453995,0.0,608.0948525089666,1413.0714723770802,16602.59738996876,11692.297165610371,-206.9794790778636,5192.819325580671,16678.13701211318
问题4-3_波动价,2025-03-22,31975.084970781892,31305.02418808214,0.0,670.0607826997485,1324.3814364850894,13242.325808373489,12195.606971165178,-226.07413807237123,3776.744725023191,15746.277558115997
问题4-3_波动价,2025-03-23,72499.19880096022,65539.67354053058,33.04693291372428,6992.57219334336,1013.880475347275,3723.55979877468,43988.874500669626,-2445.20044171359,4830.787914974854,46374.46197393089
问题4-3_波动价,2025-03-24,68357.92956995884,63742.149021871155,232.49926139334218,4848.279809481025,1331.7792194440024,2924.1639506865945,40953.18417337865,-1126.9695998812297,5322.402592502659,45148.61716600008
问题4-3_波动价,2025-03-25,75678.83492342249,65418.98171507349,134.23094186724768,10394.084150216248,1530.5121076416585,1927.2217858077036,46211.36362844131,-3304.046260167818,6525.609872819795,49432.92724109328
问题4-3_波动价,2025-03-26,65334.27009262688,61730.823653086,443.2521136398844,4046.698553180766,1050.8319780272534,3118.640342196348,39231.18679401289,-769.7258367360286,4242.334716502266,42703.795673779125
问题4-3_波动价,2025-03-27,69264.97183906035,63039.15007323983,0.0,6225.821765820523,1896.5066643349523,2139.58998280941,41593.19798921653,-2089.3792587011367,8134.27051730876,47638.08924782416
问题4-3_波动价,2025-03-28,31227.60798545953,30547.690816665734,0.0,679.9171687937959,1205.0680164405765,17559.82105918646,11685.659863338376,-243.0930990662117,4558.724024283337,16001.290788555501
问题4-3_波动价,2025-03-29,29325.52409804528,29523.779323525356,198.25522548007712,0.0,996.3752609603828,19577.667434781637,10971.27605193822,205.40930894971592,3620.9072984264144,14797.59265931435
问题4-3_波动价,2025-03-30,67221.4133355967,58772.51791837115,1.1140915962640747,8450.009508821813,2284.7035994728785,1651.4855100192403,39029.68105707469,-2410.6848338807195,9851.330709272774,46470.32693246674
问题4-3_波动价,2025-03-31,58351.111118552806,61353.06279035488,3033.38344853686,31.431776734788627,1660.0947095343931,1964.1064767047208,34857.279488558925,2139.198319144005,7217.136877412703,44213.61468511564
问题4-3_波动价,2025-04-01,71022.88996934156,65388.98036397747,59.975196471072195,5693.884801835169,1337.3445987719383,2683.457394294666,43159.228129973744,-1744.142005855865,6027.512522722237,47442.59864684012
问题4-3_波动价,2025-04-02,67601.84904166666,66170.71117677531,0.09367231114379138,1431.231537202501,1341.8949018667486,3030.885324610202,40507.89190710333,-446.226366314631,6242.268375390008,46303.93391617871
问题4-3_波动价,2025-04-03,68838.91066680384,61751.33337218323,12.712011568990306,7100.289306189599,1151.8952259825987,2660.524876068781,41679.48958002024,-2364.9619056523757,4646.36939964202,43960.89707400989
问题4-3_波动价,2025-04-04,28324.85557777779,28127.99676865437,0.0,196.85880912342262,716.8264485832416,19420.3025164754,10583.908005168334,-76.59068242486939,2704.341384085215,13211.65870682868
问题4-3_波动价,2025-04-05,27707.404625,27757.51032962755,240.04488932744843,189.9391846998973,2983.8836482906268,15560.429611359104,10568.742979169447,151.13739995028425,9559.801361825823,20279.681740945554
问题4-3_波动价,2025-04-06,64260.04281358024,59888.68428661014,446.65506903184655,4818.013596001947,1083.0453637384946,2484.6618028175367,37661.06871625067,-703.77834701185,4818.909887026711,41776.20025626554
问题4-3_波动价,2025-04-07,56366.285266666666,56989.43835510832,1012.2843014528461,389.1312130111914,1650.676452654299,1539.6459543191672,33045.41661928667,957.1109553454045,7307.029618611008,41309.55719324308
问题4-3_波动价,2025-04-08,65206.35406625514,58874.501222881,97.00576600809086,6428.858609382226,1753.5444311217461,2220.968968528215,38328.24328966687,-1716.8010930706657,7778.206188237774,44389.64838483398
问题4-3_波动价,2025-04-09,63683.91988580247,64138.46057571807,840.5761046152809,386.03541469967877,1343.749373063391,2249.6467684659387,37676.9506045346,549.9678394043291,5743.302716073781,43970.22116001271
问题4-3_波动价,2025-04-10,61863.56506244856,59579.524246346955,377.815578854024,2661.8563949556237,1798.0783569105672,2865.895163338083,36880.9696245368,-811.9304953600175,8291.451394078938,44360.49052325572
问题4-3_波动价,2025-04-11,26711.178925000015,27155.00410830996,446.84344227627827,3.01825896633369,1723.9872164058606,20205.09855306248,9725.75750985889,398.9188700852385,5510.7826641391985,15635.459044083325
问题4-3_波动价,2025-04-12,28235.202460493845,27600.191734730986,0.0,635.0107257628601,1163.0096680945844,16127.618519554122,10314.079554324513,-193.65443992037598,3748.4672026868225,13868.89231709096
问题4-3_波动价,2025-04-13,58953.72409259259,58273.504638484934,447.6364818373653,1127.8559359450205,1738.2495971845146,1657.6448162596917,34694.70097928203,124.55117754805943,7415.33175841938,42234.583915249474
问题4-3_波动价,2025-04-14,62280.90078333333,54756.523602607806,0.0,7524.377180725523,3052.1554407831127,1274.2690133878127,36567.358466874844,-2423.2055361450334,11977.528621691494,46121.6815524213
问题4-3_波动价,2025-04-15,53854.24256666666,54625.593525314966,1054.0070035369133,282.6560448886115,1791.8813038154242,2227.411173155751,30998.910519675,1108.519946174021,7904.429566878893,40011.86003272791
问题4-3_波动价,2025-04-16,60359.03887938959,58876.2787171464,799.8684704418486,2282.6286326850395,2067.3828692809575,1354.9280888187157,35164.82026173201,362.1891083846898,8656.321263608414,44183.33063372512
问题4-3_波动价,2025-04-17,53703.69840826475,56448.683126665164,2870.858531936757,125.87381353633793,1958.7067733482886,1809.4759652990588,32003.285570706175,2085.8792227985605,8994.945676420977,43084.11046992571
问题4-3_波动价,2025-04-18,26410.52745833335,26053.861983596606,174.60111112028983,531.2665858570333,2124.9750863741046,18626.386553304026,9694.67369923361,-31.62500547612399,7102.978054237878,16766.026747995365
问题4-3_波动价,2025-04-19,26070.32960833335,26090.955739937337,392.4744106616122,371.84827905762364,1322.8085107899037,17603.961483736726,9484.534160286945,222.88915092243465,4535.513771360424,14242.937082569802
问题4-3_波动价,2025-04-20,55075.162456721526,56241.837042700674,1725.0992245994012,558.4246386202569,1718.5449086552799,2022.520155181998,32484.529503197475,1188.014248448995,6916.50628749275,40589.05003913922
问题4-3_波动价,2025-04-21,58367.92252527434,53370.429998504114,0.0,4997.492526770226,2188.5591117735266,3434.661902698497,33446.50825674949,-1246.3265886661284,8803.30068274163,41003.482350825
问题4-3_波动价,2025-04-22,52946.76926666666,55411.74576911722,2652.00763210819,187.03112965763586,2385.294482607253,1856.7087111962096,31092.503964683612,2180.483758508802,9923.320101975076,43196.30782516749
问题4-3_波动价,2025-04-23,50741.16998484224,55948.73240507517,5289.653466883309,82.09104665038069,1548.5413098239221,2373.578085853304,30026.359523464656,4221.698739644285,5919.918391479908,40167.97665458885
问题4-3_波动价,2025-04-24,51799.451464951984,54413.94407648171,2681.842440692926,67.34982916320087,1643.3898189860056,5402.35213641633,30459.229634880507,2169.044528074246,6703.338284914486,39331.612447869236
